# Авторитетный указатель фидов BYDAutoFeatureIds.
# Источник: feature_ids_catalog.json, sha256 80f8c7b0a9d14707b0ea2bf8938fa09931b8f8bf9afcab9754d8b23b3b2530a4
# Групп 51, полей 6699, уникальных значений 3480.
# Строка: 0xФИД имя[ имя ...]. Одно значение может носить
# несколько имён — каталог перечисляет их через пробел.
0x00023C39 STATISTIC_TOTAL_FUEL_CON_PHM
0x00024047 CHARGING_STOP_QUANTITY_SWITCH_SET
0x00024197 POWER_DISPLAY_OWNER
0x00024306 SIGNAL_STATUS_SET
0x00024469 SET_DRIVER_SEAT_VENTILATING_STATE_SET
0x000247B6 RSE_R_BLN_COLOR3_SET
0x00024BD8 AUDIO_MEDIA_SOURCE_ARMREST_SCREEN
0x00025073 SET_CMD_RIGHT_HEAD_LIGHT_LEVEL
0x00025667 SET_VEHICLE_DISTANCE_PLUE_BUTTON
0x0002570C POWER_TFT_BACKLIGHT
0x000259BF SET_MODE_BUTTON
0x00025AE6 BODY_SEAT_POSITION_SET_INFO
0x0002624F SET_IAL_AREA_CONFIG
0x00026385 SET_GAME_MODE_STATUS_SET
0x00026633 CHARGING_POWER_BATTERY_NEED_HEAT_FLAG
0x00026783 OTA_CMD_ECU_VER
0x000268D5 SET_CMD_LEFT_HEAD_LIGHT_LEVEL_2nd
0x00027319 SET_CAR_DVR_RECORD
0x00027332 SET_GAME_GEAR_SHIFT_SYS_STATUS
0x0002754A BODYWORK_ONLINE_HAS_0x03D906
0x000277C0 INSTRUMENT_END_CHARGE_HOUR
0x00027C53 SET_HAS_REAR_WINDSCREEN_WIPER_OVERHAUL
0x00027F13 OTA_CMD_ACK
0x000285D1 GB_TREAR_MOTOR_TEMP_DM40_464
0x000286E7 SET_SAFE_DRIVING_ASSIST_STATUS_FEEDBACK
0x00028EC3 POWER_MAIN_BATTERY_VOLTAGE_WOTKING_AREA
0x00029015 DOOR_LOCK_COMMAND_AREA_CHILDLOCK_RIGHT
0x00029385 AUDIO_MEDIA_SOUND_VOLUME_SUPPRESS_SET
0x00029505 VERSION_MOTOR_CTRL_F
0x00029736 SET_CAR_BASE_PAD_AUTO_RISE_SET
0x00029C92 SET_MMS_BELT
0x00029E43 SET_SAVE_MEMORY_ONLINE
0x0002A555 AUDIO_SPEAKERS_NUMBER
0x0002A56B BODYWORK_ONLINE_HAS_0x04FA00
0x0002AAE6 SET_GAME_GEAR_SHIFT_RECOGNISE_STATUS
0x0002ADAC POWER_TP_OWNER_SET
0x0002ADC2 AUDIO_DYNA_VERSION
0x0002AE1A SET_IAL_ALL_COLOR
0x0002B31B SET_REARVIEW_ACCOUNT_LINKAGE_CONFIG
0x0002C2F3 PANORAMA_OPERATION_SET
0x0002D9E4 SET_FAULT_ALARM_SET
0x0002DBFF POWER_BCM_POWER_ON_LEVEL_SET
0x0002E81D SET_CAR_DOOR_LOCK
0x0002ECDD INSTRUMENT_ADAPTIVE_CRUISE_CONTROL_SYSTEM
0x0002F4E7 SET_AFS_SYS_STATE
0x0002F5DF BODYWORK_ONLINE_HAS_0x03D904
0x0002F646 SET_GAME_BPADEL_MAP_SET
0x0002FC48 SET_INSIDE_LIGHT_DOOR_STATE_SET
0x00031062 STATISTIC_MILEAGE1_ELEC_CON_PHKM
0x000314F5 RSE_IVI_HOTSPOT_USERNAME_TO_RSE_SET
0x00031B68 SET_SAFE_DRIVING_ASSIST_STATUS_SET
0x00032443 STATISTIC_MILEAGE2_FULE_CONSUMPTION
0x0003299F SET_CAR_ST_ACCOUNT_LINKAGE_CONFIG
0x00032A21 RSE_R_MASSAGE_LEVEL_LR_SET
0x00032D44 TEST_MCU_REPORT_SENSOR_VAL_SET
0x000336D2 SETTING_PRE_SALE_MODE_SET
0x0003396B SET_GAME_AL_RELATED_STATE_SET
0x00033A92 BODYWORK_BT_UNLOCK
0x00033EE5 AUDIO_MEDIA_SOUND_MUTE_SET_SET
0x00033FE3 AC_PERFUME_WORKING_STATE_SET
0x0003425D LIGHT_DYNAMIC_COLORFUL_SWITHCH_STATE_SET
0x00034878 INSTRUMENT_SEARCH_APPLE_KEY_SET
0x00034898 SET_CAR_LEFT_HOME_LIGHT_DELAY
0x00034BCB STATISTIC_MAX_CHARGE_CURRENT_ALLOW
0x00034F36 ADAS_DOW_WARN_LEFT
0x00036268 CHARGING_STOP_QUANTITY_SETTING_SET
0x000362D4 SET_PASSENGER_SEAT_HEATING_STATE_2nd
0x00036404 STATISTIC_SPEED_SIG_VDIS
0x0003669F AC_THE_THIRD_PERFUME_SURPLUS_ALERT
0x0003723E SET_MMS_DOOR_CLOSE
0x00037394 INSTRUMENT_SCREEN_TYPE
0x000373DF POWER_DISPLAY_OWNER_SET
0x000375E6 INSTRUMENT_FIND_KEY_RESULT
0x00037FD4 MOTOR_LOCK
0x000380CF AC_QUICK_CLEAN_AIR_3DA_ONLINE
0x0003896C INSTRUMENT_DD_FAULT_NOTICE_LV_SUPPLY
0x00038E80 LOCATION_FIXPOSITION
0x00038F7B INSTRUMENT_IRON_BATTERY
0x00039282 SET_ATMOSPHERE_LAMP_COLOR_G_VALUE_SET
0x00039CE7 CHARGING_DISCHARGE_REMAINING_TIME
0x00039D80 INSTRUMENT_DD_FAULT_INSUFFICIENT_OIL_PRESSURE
0x0003A088 SET_MMS_AUTO_TIME
0x0003A299 RSE_L_ATL_VOICE_CTL_FLAG_SET
0x0003B0F1 SET_CAR_CTRL_WINDOW_SET
0x0003B20C SPECIAL_LOCAL_CTL_ENTER_SENTRY_MODE_SET
0x0003B5DB SET_LOCK_RESET_SET
0x0003B9B1 BODY_DRIVER_SEAT_LEGHOLDER_POSITION
0x0003B9BF SET_CAR_EXT_REARVIEW_MIRROR_AUTO_FOLD
0x0003BCF5 POWER_PAD_BOOT
0x0003BD07 WIPER_AREA_REAR_STATE
0x0003BF84 BODYWORK_ONLINE_HAS_0x038B00
0x0003C74B RSE_L_BLN_MODE_SET
0x0003D0CA AUDIO_FM_REINIT_STATE
0x0003D201 INSTRUMENT_10MIN_NONKEY_START
0x0003D640 AUDIO_RADAR_SOUND_RF_STATE
0x0003D699 SET_GAME_ATL_COLOR_SET
0x0003D70B INSTRUMENT_DD_FAULT_NOTICE_RF_LIGHT_STSTEM
0x0003E1B2 INSTRUMENT_APPOINTMENT_HOUR
0x0003E6C0 AUDIO_MEDIA_INITIALIZATION_STATUS_SET
0x0003E891 VERSION_TRANS_CTRL_SET
0x0003EAFB OTA_CMD_ECU_SOFTCODE
0x0003F327 SET_CAR_SPEECH_VOL
0x0003F3B4 RSE_R_ATL_COLOR_SET
0x0003F5F0 TIME_DAY
0x0003FB84 AUDIO_ADJ_VOLUME_WITH_SPEED_SET
0x0003FD9C CHARGING_CHARGE_VEHICLE_NEEDED_VOLTAGE
0x00040A7D STATISTIC_MAX_DISCHARGE_POWER_ALLOW
0x00041EC6 POWER_OUTPUT_5V_SET
0x00041ECF SET_ENGINE_OIL_UPDATE_SIGNAL
0x000420FA BODYWORK_ONLINE_HAS_0x24F701
0x0004229E OTA_CAN_INFO_SWITCH_STATE_SET
0x00042466 SET_CAR_WARN
0x00042716 RSE_R_CAST_STATE_SET
0x000430B4 SET_GAME_MODE_CONDITION
0x000432C3 TIME_TIME_REQUEST
0x000433E7 GB_REAR_MOTOR_BUS_VOLTAGE_DM40_464
0x00043611 SET_IAL_ALL_BRIGHTNESS
0x00043C89 VERSION_DSP_BOOT_SET
0x00043E36 RSE_L_CAST_STATE_SET
0x00043EC8 RSE_R_MASSAGE_MODE_RR_SET
0x00044324 INSTRUMENT_SECURITY_ELECTRICITY
0x000447DF GEARBOX_STATE
0x000447E6 CHARGING_CWC_FEEDBACK_SIGNAL
0x00044B53 MOTOR_POWER_STATE_SET
